Pais,Inmortalidad Infantil,Esperanza de Vida,Continente,Población
Panamá,20.47,78.6,América,4034119
Papúa Nueva Guinea,51.45,67.2,Oceanía,8084991
Paraguay,25.63,77.2,América,6725308
Perú,31.94,73.7,América,31773839
Polinesia Francesa,8.44,77.2,Oceanía,280208
Polonia,8.51,77.6,Europa,37948016
Portugal,5.05,79.3,Europa,10324611
Puerto Rico,8.24,79.4,América,3411307
Qatar,18.61,78.7,Asia,2569804
Reino Unido,5.16,80.7,Europa,65637239
República Centroafricana,91,52.3,África,4594621
República Checa,3.93,78.6,Europa,10561633
República de Corea,7.05,82.4,Asia,51245707
República del Congo,94.69,57.3,África,78736153
República Democrática Popular de Corea,24.04,70.4,Asia,25368620
República Democrática Popular Lao,85.22,64.3,Asia,6758353
República Dominicana,32.38,78.1,América,10648791
Ruanda,91.23,60.1,África,11917508
Rumania,26.43,75.1,Europa,19705301
Samoa,27.71,73.7,Oceanía,195125
Samoa Americana,9.27,75.4,Oceanía,55599
San Cristóbal y Nieves,14.49,75.7,América,54821
San Marino,5.73,83.3,Europa,33203
San Martín (Parte Francesa),7.54,80.5,América,31949
San Vicente y Las Granadinas,14.78,75.3,América,109643
Santa Lucía,13.53,77.8,América,178015
Santo Tomé y Principe,43.11,64.9,África,199910
Senegal,55.51,61.7,África,15411614
Serbia,12.89,75.5,Europa,7057412
Seychelles,15.53,74.7,África,94677
Sierra Leona,143.64,58.2,África,7396190
Singapur,2.29,85,Asia,5607283
Sint Maarten,8.1,78.1,América,40005
Siria,29.53,74.9,Asia,18430453
Somalia,116.7,52.4,África,14317996
Sri Lanka,14.35,76.8,Asia,21203000
Suazilandia,69.27,51.6,África,1343098
Sudáfrica,61.81,63.1,África,55908865
Sudán,62.5,64.1,África,39578828
Sudán del Sur,58.1,56.8,África,12230730
Suecia,2.77,82.1,Europa,9903122
Suiza,4.39,82.6,Europa,8372098
Surinam,23.57,72.2,América,558368
Tailandia,20.48,74.7,Asia,68863514
Tanzania,98.54,62.2,África,55572201
Tayikistán,110.76,67.7,Asia,8734951
Timor-Leste,35.1,68.1,Asia,1268671
Togo,66.61,65,África,7606374
Tonga,12.62,76.2,Oceanía,107122
Trinidad y Tobago,24.31,72.9,América,1364962
Túnez,24.77,76.1,África,11403248
Turkmenistán,73.08,70.1,Asia,5662544
Turquía,41.04,74.8,Asia,79512426
Tuvalu,20.03,66.5,Oceanía,11097
Ucrania,20.34,71.8,Europa,45004645
Uganda,67.83,55.4,África,41487965
Uruguay,11.95,77.2,América,3444006
Uzbekistán,71.1,73.8,Asia,31848200
Vanuatu,55.16,73.4,Oceanía,270402
Venezuela,22.2,75.8,América,31568179
Viet Nam,25.95,73.4,Asia,92701100
Yemen,61.5,65.5,Asia,27584213
Yibuti,104.13,63.2,África,942333
Zambia,88.29,52.5,África,16591390
Zimbabue,67.69,58,África,16150362
